state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol,CO,NO2,Ozone,PM10,PM2.5,SO2
Alabama,16000.0,71.0,1136000.0,159000.0,0.72,818000.0,1998,,47.475,24.77777777777778,62.168137482582445,25.985443959243085,54.97058823529412,52.233870967741936
Arizona,55000.0,60.0,3300000.0,1485000.0,0.64,2112000.0,1998,,51.76923076923077,55.912,65.44617299315495,43.85196374622357,15.515337423312884,43.76420454545455
Arkansas,53000.0,65.0,3445000.0,1688000.0,0.59,2033000.0,1998,,31.52054794520548,38.0,50.130980392156864,41.083333333333336,54.75555555555555,25.112094395280234
California,450000.0,83.0,37350000.0,12326000.0,0.62,23157000.0,1998,,36.625,42.839355031352646,62.33449014250905,46.05016722408027,62.61245674740484,80.68548387096774
Colorado,27000.0,72.0,1944000.0,1594000.0,0.7,1361000.0,1998,,30.608510638297872,50.17535545023696,53.63048423789405,24.865354938271604,11.746724890829697,64.02830188679245
Florida,230000.0,98.0,22540000.0,4508000.0,0.64,14426000.0,1998,,36.1858407079646,37.040723981900456,48.50070801472671,22.76036866359447,48.75,45.53703703703704
Georgia,75000.0,56.0,4200000.0,307000.0,0.69,2898000.0,1998,,16.71212121212121,31.271604938271604,72.15691390234812,24.054655870445345,46.54736842105263,16.88101983002833
Hawaii,8000.0,118.0,944000.0,66000.0,0.77,727000.0,1998,,18.47058823529412,24.0,26.750889679715304,27.65994962216625,17.8125,30.142857142857142
Idaho,120000.0,50.0,6000000.0,2220000.0,0.65,3900000.0,1998,,20.273504273504276,34.872,44.92067988668556,24.092222222222222,24.977168949771688,34.88174273858921
Illinois,9000.0,71.0,639000.0,204000.0,1.19,760000.0,1998,,28.894736842105264,41.25595238095238,44.65577217125382,28.8673835125448,75.57142857142857,59.18002880460874
Indiana,9000.0,92.0,828000.0,489000.0,0.85,704000.0,1998,,16.891402714932127,45.13084112149533,70.81194409148665,25.40875912408759,,45.89309159112223
Iowa,50000.0,78.0,3900000.0,2301000.0,0.7,2730000.0,1998,,23.86466165413534,,42.7476231633535,29.71200850159405,,40.13959390862944
Kansas,16000.0,46.0,736000.0,390000.0,0.87,640000.0,1998,,37.130434782608695,41.98581560283688,58.12826086956522,25.755905511811022,,47.95555555555556
Kentucky,3000.0,50.0,150000.0,51000.0,1.4,210000.0,1998,,21.65714285714286,28.684863523573203,64.15102720710716,22.53095238095238,53.145833333333336,48.55086505190312
Louisiana,41000.0,111.0,4551000.0,865000.0,0.59,2685000.0,1998,,18.625,35.10806916426513,46.82084161098067,,,57.58661417322835
Maine,10000.0,26.0,260000.0,117000.0,0.69,179000.0,1998,,,24.4,43.8195020746888,21.02145922746781,23.133928571428573,24.5575959933222
Maryland,7000.0,44.0,308000.0,92000.0,1.1,339000.0,1998,,31.16455696202532,36.43266475644699,70.08641975308642,20.62043795620438,,37.25862068965517
Michigan,80000.0,85.0,6800000.0,3672000.0,0.66,4488000.0,1998,,10.0398406374502,34.10071942446043,58.0823830579474,19.094240837696336,,46.93138686131387
Minnesota,140000.0,79.0,11060000.0,2765000.0,0.65,7189000.0,1998,,21.54,38.62135922330097,38.57796391752577,22.14532871972318,32.15,43.11585365853659
Mississippi,18000.0,86.0,1548000.0,898000.0,0.58,898000.0,1998,,22.64516129032258,19.85496183206107,60.425,21.71710526315789,,16.19360902255639
Missouri,23000.0,66.0,1518000.0,455000.0,0.76,1154000.0,1998,,26.468354430379748,31.573804573804573,64.94174757281553,34.391975308641975,,58.12047302291205
Montana,115000.0,122.0,14030000.0,5472000.0,0.64,8979000.0,1998,,24.327433628318584,18.641509433962263,36.12903225806452,25.296314741035857,27.05454545454545,59.72848484848485
Nebraska,64000.0,70.0,4480000.0,2240000.0,0.86,3853000.0,1998,,28.12286689419795,,37.06303724928367,37.04761904761905,,50.95454545454545
Nevada,10000.0,46.0,460000.0,175000.0,1.65,759000.0,1998,,49.11510791366906,52.57142857142857,52.85494652406417,43.84090909090909,10.681818181818182,
New Jersey,11000.0,49.0,539000.0,167000.0,0.76,410000.0,1998,,26.713527851458885,47.34753857457752,59.85211485026242,32.54716981132076,43.03125,40.07421875
New Mexico,14000.0,55.0,770000.0,470000.0,0.76,585000.0,1998,,15.62847222222222,39.102739726027394,54.40524590163935,28.267365661861074,19.81938325991189,102.09620991253644
New York,65000.0,80.0,5200000.0,2444000.0,0.7,3640000.0,1998,,25.17672413793104,42.68039215686274,49.10628379638262,28.0125786163522,,51.24208443271768
North Carolina,8000.0,59.0,472000.0,151000.0,1.38,651000.0,1998,,25.107828655834563,34.715025906735754,69.35810703509608,20.24242424242424,26.666666666666668,23.65487571701721
North Dakota,230000.0,128.0,29440000.0,8832000.0,0.63,18547000.0,1998,,,35.394366197183096,36.90508806262231,13.69672131147541,,15.87957181088314
Ohio,18000.0,78.0,1404000.0,702000.0,0.83,1165000.0,1998,,17.99404761904762,39.16554054054054,68.01697461318912,25.11179487179487,,42.04568259836282
Oklahoma,4000.0,51.0,204000.0,63000.0,1.24,253000.0,1998,,23.53333333333333,23.93684210526316,61.817234190410005,30.61904761904762,,37.22686025408348
Oregon,50000.0,45.0,2250000.0,1620000.0,0.9,2025000.0,1998,,29.74601971190296,29.49090909090909,42.8364418938307,22.137614678899084,20.9375,
Pennsylvania,26000.0,66.0,1716000.0,789000.0,0.8,1373000.0,1998,,23.125,34.50261034646417,69.1406386320014,39.2948717948718,,60.24853587115666
South Dakota,225000.0,95.0,21375000.0,10901000.0,0.64,13680000.0,1998,,,,,26.29845626072041,20.235294117647054,
Tennessee,7000.0,64.0,448000.0,121000.0,1.32,591000.0,1998,,26.29493087557604,34.77725118483412,74.87237026647966,27.3546511627907,61.09090909090909,45.94657980456026
Texas,91000.0,77.0,7007000.0,1612000.0,0.62,4344000.0,1998,,48.02325581395349,40.38273381294964,51.68170426065163,43.9820788530466,29.58730158730159,51.51576576576576
Utah,30000.0,58.0,1740000.0,557000.0,0.65,1131000.0,1998,,34.75965665236051,43.86085626911315,65.8910318225651,43.42156862745098,33.741379310344826,36.42857142857143
Vermont,6000.0,64.0,384000.0,207000.0,0.85,326000.0,1998,,7.0,25.43076923076923,47.48081841432225,24.27777777777778,30.7,39.48739495798319
Virginia,8000.0,37.0,296000.0,86000.0,1.33,394000.0,1998,,14.699724517906336,34.76506431956669,70.97407945736434,21.95514511873351,51.01754385964912,29.661103979460847
Washington,58000.0,51.0,2958000.0,1361000.0,0.64,1893000.0,1998,,29.77946127946128,34.98529411764706,36.53746097814776,23.00657894736842,28.372222222222224,38.535928143712574
West Virginia,6000.0,55.0,330000.0,155000.0,1.14,376000.0,1998,,38.58064516129032,34.25,65.34036568213783,31.785714285714285,50.886792452830186,63.41181657848325
Wisconsin,89000.0,91.0,8099000.0,5264000.0,0.72,5831000.0,1998,,13.68503937007874,34.43023255813954,52.19916003536693,26.153846153846157,62.02857142857143,27.6711051930759
Wyoming,46000.0,60.0,2760000.0,524000.0,0.68,1877000.0,1998,,,,50.60357815442561,20.5331347728965,38.04,
Alabama,17000.0,68.0,1156000.0,185000.0,0.56,647000.0,1999,,107.4090909090909,,67.52461538461539,26.142857142857142,67.13990610328638,51.855670103092784
Arizona,52000.0,62.0,3224000.0,1548000.0,0.62,1999000.0,1999,,97.66666666666669,84.22641509433963,65.55121373593842,43.97526501766784,37.67834394904459,59.2183908045977
Arkansas,52000.0,89.0,4628000.0,2592000.0,0.53,2453000.0,1999,,32.266666666666666,39.642857142857146,54.65723793677205,41.66666666666666,55.39457831325301,23.0640243902439
California,465000.0,60.0,27900000.0,9486000.0,0.55,15345000.0,1999,,51.64571428571429,45.85427706283119,65.7672029308697,58.24752475247525,78.14209505334627,77.98224852071006
Colorado,27000.0,76.0,2052000.0,1436000.0,0.68,1395000.0,1999,,29.14012738853503,49.40430622009569,50.32941965783294,26.025457438345267,27.32422586520947,62.51086956521739
