year,cluster,household,honeyprice_index,honeyproduction_index,greenland_total,TSP,PM2.5,PM10,SOx,NOx,VOCs,NH3,CO,BC,temp_mean,temp_min,temp_max,temp_mean_min,temp_mean_max,rain,rain_max,humidity_mean,sunhour,sunrate,windspeed,crop_total,agriculture_total,vegi,fruit,flower
1999, , ,69.4,50.4, ,84835, ,63251,484716,1072323,665043,49544,885179, ,12.9,-10.8,33.3,9.3,16.8,1722,195.7,63.8,2119.3,47.61,3,92.3,93.6,68.7,102.8,34.5
2000, , ,70.8,84.7, ,82101, ,61719,490761,1122844,706915,48484,900569, ,12,-10.9,33.7,8.1,16,1345.2,93.3,62.6,2145.7,48.09,2.7,94.9,96.4,68.3,106.2,30.7
2001, , ,75.1,105.3, ,88075, ,67368,487734,1219020,734814,231453,845076, ,12.2,-14.6,34.2,8.2,16.4,1164.2,99.1,59.3,2055.6,46.17,2.4,95.6,97.1,70.5,105.8,163.6
2002,1772458,45131,79.3,128, ,84365, ,65100,474084,1242265,741647,222581,822767, ,12,-11,36.6,8,16.3,1550.3,295.5,61.2,2033.4,45.65,2.3,92.5,93.7,65.5,107.2,52.8
2003,1871648,43635,81.9,145.9, ,85941, ,66357,469145,1362141,758455,235301,805414, ,11.7,-14.8,33.2,8,15.7,1899,121,67.8,1771.1,39.77,2.3,88.7,89.3,67.1,97.4,23.6
2004,2012734,41121,97.2,74.8, ,80084, ,62491,446804,1377526,797240,243661,816954, ,13.2,-15.6,37.1,9.1,17.6,1587.3,241,59.8,2273.7,50.94,2.6,93.9,95,77.1,103.4,21.7
2005,2089762,41039,100,113.8, ,88909, ,67343,408462,1306724,756421,247149,788917, ,12,-13.1,36,8.1,16.1,1349.2,105,59.2,2236.1,50.2,2.6,95.1,95.7,80.5,110.8,27
2006,1976121,38297,94.1,109.6, ,88260, ,64795,446488,1274969,794158,235703,829938, ,11.9,-11.9,33,8.3,16,1609.2,232,64.1,1748.7,39.26,2.5,93,93.4,76.8,104.9,21.9
2007,1889514,36744,92.3,102.7,99720391764.3,144510, ,98143,402525,1187923,874699,308707,808862, ,13,-8.6,35.3,9.3,17.2,1264.7,87,63.3,1892.3,42.49,2.5,94.6,95.4,77.8,112.3,23.5
2008,1858574,32927,86.9,122.4,99827784396,171603, ,110797,417980,1045104,857856,265720,703661, ,13,-10.9,34.7,9.2,17.1,1415,148,63,2224.6,49.84,2.4,98.7,99.6,80.7,112.5,18.1
